Wall time,Step,Value
1638639017.7932959,137,0.2778431177139282
1638639135.0717964,275,0.28119274973869324
1638639261.8090568,413,0.5354651808738708
1638639388.0681553,551,0.5138499736785889
1638639511.396058,689,0.5401264429092407
1638639635.5273619,827,0.5409128069877625
1638639761.8710241,965,0.5721116065979004
1638639886.205805,1103,0.6290132999420166
1638640008.8126774,1241,0.6731374263763428
1638640134.6730406,1379,0.6272523403167725
1638640259.157217,1517,0.6237751841545105
1638640386.7558758,1655,0.609912633895874
1638640512.40686,1793,0.6061856150627136
1638640638.4418712,1931,0.553885817527771
1638640767.0577047,2069,0.6272563934326172
1638640891.950183,2207,0.6143938302993774
1638641018.811387,2345,0.6375598311424255
1638641146.691454,2483,0.5787421464920044
1638641274.9976976,2621,0.5218790769577026
1638641402.1481078,2759,0.6030610799789429
