Wall time,Step,Value
1638746774.0518687,137,0.3247787654399872
1638746886.8116572,275,0.4529500901699066
1638746987.8329973,413,0.37212496995925903
1638747080.8369222,551,0.3985263407230377
1638747183.9053118,689,0.3928101360797882
1638747269.9623258,827,0.3524620234966278
1638747372.840856,965,0.32728421688079834
1638747467.5815623,1103,0.3690134286880493
1638747569.0913694,1241,0.42424488067626953
1638747669.125241,1379,0.40229344367980957
1638747774.01959,1517,0.4004647135734558
1638747876.0453243,1655,0.41150733828544617
1638747984.4177828,1793,0.4161817133426666
1638748084.253058,1931,0.41061118245124817
1638748185.6540577,2069,0.3723999857902527
1638748281.2109196,2207,0.37374261021614075
1638748380.0665872,2345,0.40763384103775024
1638748472.572904,2483,0.40032896399497986
1638748569.9332647,2621,0.4077281355857849
1638748672.242074,2759,0.38063645362854004
