Wall time,Step,Value
1638634075.6399336,137,0.7838830351829529
1638634189.4859455,275,0.4173455238342285
1638634310.8784173,413,0.5375578999519348
1638634431.979608,551,0.5476155281066895
1638634553.2866151,689,0.5690581798553467
1638634673.2140095,827,0.5386579036712646
1638634792.8563643,965,0.491584837436676
1638634913.6685126,1103,0.7864431738853455
1638635036.4630651,1241,0.6740166544914246
1638635163.769899,1379,0.5966173410415649
1638635286.026012,1517,0.6169115900993347
1638635405.6425486,1655,0.6292843222618103
1638635526.2695513,1793,0.6697364449501038
1638635646.1038485,1931,0.6489939093589783
1638635768.2710073,2069,0.6400021314620972
1638635889.7243917,2207,0.6172244548797607
1638636009.4698162,2345,0.6590619683265686
1638636129.1297228,2483,0.620591402053833
1638636249.7061303,2621,0.6811859607696533
1638636371.301991,2759,0.6460075974464417
