Wall time,Step,Value
1638636512.6622615,137,0.332384318113327
1638636629.864905,275,0.3244340121746063
1638636755.8499126,413,0.3974834382534027
1638636879.8019664,551,1.2672109603881836
1638637009.1324239,689,0.6408527493476868
1638637134.9965975,827,0.5826616883277893
1638637262.3205695,965,0.4275769591331482
1638637391.5851424,1103,0.4665648639202118
1638637516.4105797,1241,0.3719390034675598
1638637642.4252198,1379,0.38532620668411255
1638637768.1181545,1517,0.462144672870636
1638637890.4970999,1655,0.3832743763923645
1638638014.3931022,1793,0.40478402376174927
1638638139.6660395,1931,0.39800509810447693
1638638263.8116956,2069,0.4561164975166321
1638638386.0670907,2207,0.3581034541130066
1638638509.132111,2345,0.390491783618927
1638638631.1483076,2483,0.32331836223602295
1638638757.1232455,2621,0.35264670848846436
1638638879.8534303,2759,0.30160805583000183
