Wall time,Step,Value
1638639017.793458,137,0.9401336908340454
1638639135.0726252,275,0.9309998154640198
1638639261.8092167,413,0.8778049945831299
1638639388.0683162,551,0.8589572310447693
1638639511.3962195,689,0.8929816484451294
1638639635.5275233,827,0.8772580623626709
1638639761.8711884,965,0.8907723426818848
1638639886.206769,1103,0.8676507472991943
1638640008.8128653,1241,0.8613483309745789
1638640134.6732094,1379,0.8868808746337891
1638640259.1573827,1517,0.872964084148407
1638640386.7560365,1655,0.8663488030433655
1638640512.4070246,1793,0.8794326186180115
1638640638.442031,1931,0.9058181643486023
1638640767.0579128,2069,0.8847909569740295
1638640891.9511554,2207,0.8765534162521362
1638641018.8115602,2345,0.8858768343925476
1638641146.6922789,2483,0.8909011483192444
1638641274.9979682,2621,0.8784934878349304
1638641402.148875,2759,0.8795311450958252
