Wall time,Step,Value
1638638940.616935,49,0.1901329606771469
1638638976.8798838,99,0.10109902918338776
1638639030.8986123,149,0.08823332190513611
1638639066.5767446,199,0.09548486769199371
1638639102.5452347,249,0.12768395245075226
1638639158.1187558,299,0.14820507168769836
1638639197.1733704,349,0.4169884920120239
1638639236.9966328,399,0.4261486232280731
1638639294.3417065,449,0.14027222990989685
1638639334.0577424,499,0.10704082995653152
1638639373.2548134,549,0.3707810044288635
1638639429.138834,599,0.02632322907447815
1638639467.4273343,649,0.049981553107500076
1638639524.0165586,699,0.07775936275720596
1638639562.3603024,749,0.015821268782019615
1638639601.0427458,799,0.12801304459571838
1638639657.4716597,849,0.430372416973114
1638639696.3844583,899,0.09339253604412079
1638639735.9617724,949,0.16283130645751953
1638639792.5093198,999,0.03958585485816002
1638639830.7893891,1049,0.06350339949131012
1638639869.7639186,1099,0.016964349895715714
1638639926.2144876,1149,0.060400962829589844
1638639963.551776,1199,0.0656096339225769
1638640019.6115758,1249,0.08637401461601257
1638640058.8555608,1299,0.016372479498386383
1638640097.8441293,1349,0.09557514637708664
1638640153.81952,1399,0.025072529911994934
1638640193.1922634,1449,0.13326871395111084
1638640231.2287445,1499,0.12282899022102356
1638640289.8599946,1549,0.3355817198753357
1638640330.0503402,1599,0.06997136026620865
1638640368.5022748,1649,0.36823487281799316
1638640425.171051,1699,0.5938262343406677
1638640464.571476,1749,0.11809280514717102
1638640521.2056162,1799,0.23943576216697693
1638640559.949831,1849,0.02148887887597084
1638640598.98327,1899,0.23404677212238312
1638640656.8301659,1949,0.01959262229502201
1638640698.3910613,1999,0.026646027341485023
1638640738.0227425,2049,0.41783666610717773
1638640794.6591036,2099,0.04877602308988571
1638640833.2945044,2149,0.07834838330745697
1638640872.4300013,2199,0.19723963737487793
1638640929.9518485,2249,0.32619330286979675
1638640969.287335,2299,0.04698227345943451
1638641026.2490263,2349,0.04410957917571068
1638641066.5862732,2399,0.028586803004145622
1638641107.0437737,2449,0.2815401554107666
1638641163.4365857,2499,0.13565132021903992
1638641203.456248,2549,0.17289382219314575
1638641243.3190072,2599,0.07177314907312393
1638641301.400641,2649,0.35820209980010986
1638641341.2721813,2699,0.052875831723213196
1638641380.7401016,2749,0.20653600990772247
