Wall time,Step,Value
1638632057.1501043,137,0.1486663520336151
1638632153.0384183,275,0.2238311767578125
1638632251.4271884,413,0.30962052941322327
1638632351.3682585,551,0.7733481526374817
1638632449.404054,689,0.13935905694961548
1638632548.8386595,827,0.10879678279161453
1638632646.9205081,965,0.09559591859579086
1638632746.8199866,1103,0.11392112821340561
1638632847.0229993,1241,0.09281864017248154
1638632946.010055,1379,0.08283834159374237
1638633044.3713684,1517,0.09482181072235107
1638633143.0250564,1655,0.12144194543361664
1638633244.3885436,1793,0.1300061047077179
1638633343.8549044,1931,0.10418467223644257
1638633441.7187586,2069,0.10644733160734177
1638633540.3927188,2207,0.06998544931411743
1638633640.6714332,2345,0.068348228931427
1638633739.4266798,2483,0.06207045167684555
1638633838.4842231,2621,0.06523169577121735
1638633937.9754298,2759,0.07853981852531433
