Wall time,Step,Value
1638746709.9281068,49,0.9919822216033936
1638746738.2402103,99,0.9019211530685425
1638746782.3972268,149,0.3210802674293518
1638746812.8222482,199,0.25112786889076233
1638746848.3848348,249,0.12187573313713074
1638746901.4755135,299,0.24082694947719574
1638746930.317009,349,0.1648235321044922
1638746957.6315377,399,0.3642563819885254
1638747008.6283827,449,0.0552925206720829
1638747036.9684188,499,0.3782556354999542
1638747067.4878273,549,0.3734200596809387
1638747111.4922748,599,0.06974883377552032
1638747142.6565657,649,0.3608687222003937
1638747191.4977422,699,0.04653053730726242
1638747215.9489357,749,0.08009763062000275
1638747242.6559029,799,0.28013554215431213
1638747286.344169,849,0.08415275812149048
1638747315.518352,899,0.3079398572444916
1638747347.9294057,949,0.1961883008480072
1638747392.5183742,999,0.38954174518585205
1638747417.4718726,1049,0.1121450737118721
1638747446.9400463,1099,0.07847246527671814
1638747496.3936768,1149,0.06727328896522522
1638747528.1868963,1199,0.023917848244309425
1638747575.1240478,1249,0.08040761947631836
1638747600.8611283,1299,0.1491345763206482
1638747634.7588203,1349,0.08930814266204834
1638747683.9671605,1399,0.046266086399555206
1638747713.4863808,1449,0.1345660388469696
1638747746.5573375,1499,0.10928742587566376
1638747795.5204344,1549,0.025581825524568558
1638747823.854399,1599,0.2764642834663391
1638747854.8194528,1649,0.17416679859161377
1638747903.2686744,1699,0.6565099358558655
1638747932.7215896,1749,0.1132243201136589
1638747988.7376652,1799,0.3825943171977997
1638748017.981212,1849,0.2105632722377777
1638748045.2293832,1899,0.0927739143371582
1638748096.574461,1949,0.24321238696575165
1638748129.1228192,1999,0.2459619641304016
1638748160.490248,2049,0.03176243603229523
1638748202.8090003,2099,0.1775776594877243
1638748232.133995,2149,0.05569205433130264
1638748263.7082307,2199,0.0648220106959343
1638748306.3547015,2249,0.10364293307065964
1638748335.617892,2299,0.0381927415728569
1638748383.222028,2349,0.15129712224006653
1638748411.4977517,2399,0.10369068384170532
1638748439.4605954,2449,0.2456539124250412
1638748482.3496451,2499,0.12113345414400101
1638748514.6068487,2549,0.3671078681945801
1638748543.3882086,2599,0.1828540414571762
1638748586.5586653,2649,0.06126977130770683
1638748619.3787708,2699,0.12746621668338776
1638748650.2778678,2749,0.2528589963912964
