Wall time,Step,Value
1638748745.7666583,49,0.15197457373142242
1638748776.3896227,99,0.09697069227695465
1638748823.760021,149,0.17004549503326416
1638748853.8590555,199,0.5317592024803162
1638748880.4014573,249,0.4300428628921509
1638748935.1163247,299,0.7160536646842957
1638748973.223043,349,0.6524842381477356
1638749010.825079,399,0.29545626044273376
1638749059.6689157,449,0.3530295789241791
1638749092.8326087,499,0.6458015441894531
1638749120.1497781,549,0.8262253403663635
1638749167.6163628,599,0.25755253434181213
1638749200.8602152,649,0.28420865535736084
1638749255.1887307,699,0.18479299545288086
1638749289.4725647,749,0.4536527097225189
1638749327.3210483,799,0.6267991065979004
1638749374.220666,849,0.19303059577941895
1638749413.1028836,899,0.22166398167610168
1638749447.4687564,949,0.8081192970275879
1638749492.2979019,999,0.47033771872520447
1638749521.4079862,1049,0.5615633130073547
1638749553.434083,1099,0.31556880474090576
1638749598.3243072,1149,0.37564611434936523
1638749627.8535273,1199,0.36569464206695557
1638749686.3050444,1249,0.10757876187562943
1638749719.8646636,1299,0.2651943564414978
1638749760.613288,1349,0.27454569935798645
1638749814.6833398,1399,0.3546906113624573
1638749847.6070437,1449,0.32405397295951843
1638749882.7768626,1499,0.11981305480003357
1638749928.1534138,1549,0.12348826229572296
1638749957.840035,1599,0.24600130319595337
1638749991.4834168,1649,0.07055588066577911
1638750034.8320942,1699,0.2810336947441101
1638750067.5190604,1749,0.22222670912742615
1638750113.359742,1799,0.2515828013420105
1638750143.5997858,1849,0.2048547863960266
1638750174.5909336,1899,0.20692089200019836
1638750222.907505,1949,0.4493778944015503
1638750255.8565717,1999,0.16584129631519318
1638750291.7181923,2049,0.0705978125333786
1638750338.9190094,2099,0.18273493647575378
1638750374.7182674,2149,0.24759738147258759
1638750415.5717468,2199,0.11840009689331055
1638750463.342879,2249,0.23679645359516144
1638750492.0535262,2299,0.1273098587989807
1638750541.171628,2349,0.11458563059568405
1638750575.056032,2399,0.08509783446788788
1638750605.5873332,2449,0.0703318640589714
1638750652.3767629,2499,0.08639821410179138
1638750678.9937658,2549,0.21162907779216766
1638750705.9907808,2599,0.18679878115653992
1638750747.7620735,2649,0.18725678324699402
1638750775.9250555,2699,0.19890408217906952
1638750812.4095957,2749,0.32993435859680176
