Wall time,Step,Value
1638750969.9692378,137,0.5090465545654297
1638751071.5409467,275,0.5001933574676514
1638751169.7947772,413,0.6944275498390198
1638751262.675248,551,0.7272116541862488
1638751351.1121006,689,0.8831332325935364
1638751446.7004309,827,0.6948893666267395
1638751536.2223496,965,0.7650015354156494
1638751623.9139872,1103,0.7776287198066711
1638751715.346959,1241,0.7909502983093262
1638751805.3307142,1379,0.7167956829071045
1638751899.4120452,1517,0.7649612426757812
1638751992.3605268,1655,0.7444236278533936
1638752089.1469307,1793,0.7267573475837708
1638752177.9517744,1931,0.8066866397857666
1638752262.9927695,2069,0.7457078695297241
1638752352.3073168,2207,0.7607421875
1638752441.9887352,2345,0.7661424279212952
1638752530.5219479,2483,0.7456740736961365
1638752624.509291,2621,0.7379336953163147
1638752736.688715,2759,0.7765318155288696
