Wall time,Step,Value
1638636434.3903978,49,0.3684077858924866
1638636471.3064065,99,0.1893141269683838
1638636522.5148036,149,0.6506531238555908
1638636560.244118,199,0.7812589406967163
1638636596.8318114,249,0.1490289866924286
1638636650.6537561,299,0.2475453019142151
1638636690.525544,349,0.1931816041469574
1638636730.8719885,399,0.1694657802581787
1638636785.058589,449,0.14476928114891052
1638636824.7188544,499,0.5710601806640625
1638636864.6911728,549,0.1603810042142868
1638636920.7667232,599,1.418405532836914
1638636963.0340867,649,0.698154091835022
1638637019.4810433,699,0.7565587759017944
1638637058.7447138,749,0.5231306552886963
1638637098.5280964,799,0.20416219532489777
1638637154.2398653,849,0.14951874315738678
1638637194.5844922,899,0.29981938004493713
1638637236.1197226,949,0.14789189398288727
1638637292.9327295,999,0.1400148719549179
1638637333.3095925,1049,0.4048192799091339
1638637374.8597002,1099,0.5730494856834412
1638637429.030665,1149,0.3364090323448181
1638637469.3846169,1199,0.2390420138835907
1638637524.3800895,1249,0.20412884652614594
1638637564.6409397,1299,0.2495337426662445
1638637604.4811156,1349,0.3929078280925751
1638637659.5761607,1399,0.1613749861717224
1638637699.8718247,1449,0.1818384975194931
1638637739.7367427,1499,0.25654366612434387
1638637794.7179883,1549,0.07337873429059982
1638637832.469913,1599,0.09380831569433212
1638637872.3924181,1649,0.10550956428050995
1638637925.5912194,1699,0.2293458878993988
1638637965.276167,1749,0.11805082112550735
1638638020.110737,1799,0.06138983741402626
1638638060.4129384,1849,0.4169921875
1638638100.860241,1899,0.24378198385238647
1638638155.2488053,1949,0.10696960985660553
1638638194.1495752,1999,0.04255319759249687
1638638233.9506414,2049,0.059026941657066345
1638638288.6563108,2099,0.1267419159412384
1638638328.0256946,2149,0.06286133080720901
1638638366.2601888,2199,0.1806492656469345
1638638420.4901586,2249,0.47091859579086304
1638638459.8847916,2299,0.17669041454792023
1638638513.4450233,2349,0.17516395449638367
1638638551.7696166,2399,0.2509763836860657
1638638591.3484726,2449,0.280154287815094
1638638646.004722,2499,0.3436505198478699
1638638685.681458,2549,0.6041489243507385
1638638726.3486993,2599,0.3248462677001953
1638638780.2215276,2649,0.12579137086868286
1638638819.7007706,2699,0.11817773431539536
1638638858.5403748,2749,0.05821289122104645
